"","ID","danger"
"600","1287","NO"
"601","1288","NO"
"602","1290","NO"
"603","1291","NO"
"604","1293","NO"
"605","1294","NO"
"606","1296","NO"
"607","1298","NO"
"608","1299","NO"
"609","1300","NO"
"610","1307","NO"
"611","1309","NO"
"612","1312","NO"
"613","1313","NO"
"614","1318","NO"
"615","1319","NO"
"616","1320","NO"
"617","1321","NO"
"618","1322","NO"
"619","1323","YES"
"620","1324","NO"
"621","1325","NO"
"622","1329","NO"
"623","1333","NO"
"624","1334","NO"
"625","1338","NO"
"626","1339","NO"
"627","1340","NO"
"628","1341","NO"
"629","1342","NO"
"630","1344","NO"
"631","1345","NO"
"632","1350","NO"
"633","1354","NO"
"634","1355","NO"
"635","1356","NO"
"636","1358","NO"
"637","1363","NO"
"638","1364","NO"
"639","1367","NO"
"640","1368","NO"
"641","1369","NO"
"642","1373","NO"
"643","1374","NO"
"644","1375","NO"
"645","1377","NO"
"646","1378","NO"
"647","1379","NO"
"648","1380","NO"
"649","1381","NO"
"650","1382","NO"
"651","1383","NO"
"652","1389","NO"
"653","1391","NO"
"654","1392","NO"
"655","1393","NO"
"656","1397","NO"
"657","1398","YES"
"658","1399","NO"
"659","1400","NO"
"660","1403","NO"
"661","1404","NO"
"662","1405","NO"
"663","1406","NO"
"664","1408","YES"
"665","1409","NO"
"666","1411","YES"
"667","1413","NO"
"668","1414","NO"
"669","1418","NO"
"670","1420","NO"
"671","1423","NO"
"672","1424","NO"
"673","1425","NO"
"674","1426","NO"
"675","1428","YES"
"676","1429","YES"
"677","1433","NO"
"678","1434","NO"
"679","1435","NO"
"680","1436","YES"
"681","1440","NO"
"682","1449","NO"
"683","1450","NO"
"684","1451","NO"
"685","1453","NO"
"686","1457","NO"
"687","1459","NO"
"688","1462","NO"
"689","1463","NO"
"690","1464","NO"
"691","1465","NO"
"692","1466","NO"
"693","1467","YES"
"694","1469","NO"
"695","1471","YES"
"696","1472","NO"
"697","1474","NO"
"698","1475","NO"
"699","1476","NO"
"700","1477","NO"
"701","1482","YES"
"702","1498","YES"
